commodity,avg_monthly_demand,std_monthly_demand,avg_price,daily_demand,demand_std_daily,safety_stock,reorder_point,annual_demand,holding_cost_per_unit,eoq,max_stock
Apples,60.877863330125116,34.7245856783953,299.004812319538,2.0292621110041704,6.3398129586926455,27.7,41.9,730.5343599615014,51.668031568816176,118.9,160.8
Bananas,86.42102102102103,30.053492365535305,132.94794794794794,2.880700700700701,5.486991900137661,24.0,44.2,1037.0522522522524,22.9734054054054,212.5,256.7
Beans (black),23.492781520692976,5.285388651727735,218.18190567853705,0.7830927173564325,0.9649755299110323,4.2,9.7,281.9133782483157,37.7018333012512,86.5,96.2
Cabbage,57.228654404646655,16.638316542074964,55.40174249757987,1.907621813488222,3.0377270963352703,13.3,26.7,686.7438528557599,9.5734211035818,267.8,294.5
Carrots,40.077523413111344,10.408231643437889,95.87825182101977,1.3359174471037114,1.9002744182833329,8.3,17.7,480.9302809573361,16.567761914672218,170.4,188.1
Chickpeas,30.29932627526468,7.5844792287843985,158.5274302213667,1.0099775425088227,1.3847301201782003,6.0,13.1,363.59191530317617,27.39353994225216,115.2,128.3
Eggs,137.60921843687376,48.33445410420017,20.965931863727455,4.586973947895792,8.824623605856196,38.5,70.6,1651.310621242485,3.622913026052104,675.1,745.7
Fish,31.570497630331754,9.22497611546801,471.2582938388626,1.0523499210110585,1.6842425036294038,7.4,14.8,378.84597156398104,81.43343317535546,68.2,83.0
Lentils (broken),75.22319538017324,20.980225366911007,177.04716073147256,2.5074398460057745,3.830447564999753,16.7,34.3,902.6783445620788,30.59374937439846,171.8,206.1
Meat (chicken),95.82395326192794,52.640170538639026,459.8666017526777,3.194131775397598,9.610736278310489,42.0,64.4,1149.8874391431352,79.4649487828627,120.3,184.7
Milk,104.04136546184739,25.6588929942706,109.26305220883535,3.468045515394913,4.684651497857761,20.5,44.8,1248.4963855421688,18.880655421686747,257.1,301.9
Oil (mustard),58.679287090558766,18.357259925423865,281.8603082851638,1.9559762363519588,3.3515617850467514,14.6,28.3,704.1514450867052,48.70546127167631,120.2,148.5
Oil (soybean),50.011357074109725,13.871517719434427,237.08950914340713,1.6670452358036576,2.5325810539222844,11.1,22.8,600.1362848893167,40.96906717998075,121.0,143.8
Oranges,46.62826704545455,19.17058066030327,170.859375,1.5542755681818183,3.5000531560401273,15.3,26.2,559.5392045454546,29.5245,137.7,163.9
Peanut,21.493333333333336,4.9287164143318005,313.6735632183908,0.7164444444444446,0.8998563865585019,3.9,8.9,257.92,54.20279172413793,69.0,77.9
Potatoes (red),141.91100386100385,29.635278209371425,54.03764478764479,4.730366795366795,5.4106367910713455,23.6,56.7,1702.9320463320462,9.33770501930502,427.0,483.7
Pumpkin,32.56323232323232,6.266921009950596,70.00404040404041,1.0854410774410774,1.144178001084333,5.0,12.6,390.75878787878787,12.09669818181818,179.7,192.3
Rice (coarse),217.9769,53.776335973183414,71.025,7.2658966666666664,9.818170757496361,42.9,93.8,2615.7228,12.273120000000002,461.7,555.5
Rice (medium grain),187.32362204724407,50.71568089594944,94.38779527559055,6.244120734908136,9.25937414864844,40.4,84.1,2247.883464566929,16.31021102362205,371.2,455.3
Tomatoes,95.62656400384985,32.140383406305666,81.11549566891242,3.187552133461662,5.868004332832781,25.6,47.9,1147.5187680461981,14.016757651588065,286.1,334.0
Wheat flour,102.39862475442044,19.541256008909915,85.93811394891945,3.413287491814015,3.5677289060211113,15.6,39.5,1228.7834970530453,14.85010609037328,287.7,327.2
